customer_id,created_date,canceled_date,subscription_cost,subscription_interval,was_subscription_paid,is_active,subscription_length_days
154536156,2022-09-01,,39,month,Yes,True,0.0
149713408,2022-09-01,2022-09-02,39,month,No,False,1.0
153756284,2022-09-01,2022-09-02,39,month,No,False,1.0
121253113,2022-09-01,2022-09-23,39,month,Yes,False,22.0
154467210,2022-09-01,2023-06-29,39,month,Yes,False,301.0
154510811,2022-09-01,2023-05-08,39,month,Yes,False,249.0
154494346,2022-09-01,2022-11-26,39,month,Yes,False,86.0
148671505,2022-09-01,2022-11-23,39,month,Yes,False,83.0
154568379,2022-09-01,2022-10-25,39,month,Yes,False,54.0
154428434,2022-09-01,2022-10-31,39,month,Yes,False,60.0
154601651,2022-09-01,2022-09-26,39,month,Yes,False,25.0
122824692,2022-09-01,2022-09-15,39,month,Yes,False,14.0
152925600,2022-09-02,,39,month,Yes,True,0.0
151154171,2022-09-02,2022-09-02,39,month,Yes,False,0.0
154640950,2022-09-02,2022-12-09,39,month,Yes,False,98.0
154617329,2022-09-02,2022-10-27,39,month,Yes,False,55.0
154089211,2022-09-02,2022-10-09,39,month,Yes,False,37.0
154653820,2022-09-02,2022-09-26,39,month,Yes,False,24.0
154131290,2022-09-03,,39,month,Yes,True,0.0
154434009,2022-09-03,,39,month,Yes,True,0.0
136108848,2022-09-03,2022-09-04,39,month,Yes,False,1.0
135185873,2022-09-03,2023-05-10,39,month,Yes,False,249.0
154592664,2022-09-03,2023-04-01,39,month,Yes,False,210.0
119436804,2022-09-03,2023-04-10,39,month,Yes,False,219.0
152929657,2022-09-03,2022-11-23,39,month,Yes,False,81.0
154708974,2022-09-03,2022-10-18,39,month,Yes,False,45.0
154567722,2022-09-03,2022-09-29,39,month,Yes,False,26.0
154719788,2022-09-03,2022-09-25,39,month,Yes,False,22.0
154809306,2022-09-04,2022-09-05,39,month,Yes,False,1.0
140391539,2022-09-04,2023-04-05,39,month,Yes,False,213.0
153194806,2022-09-04,2023-04-16,39,month,Yes,False,224.0
144402204,2022-09-04,2022-09-22,39,month,Yes,False,18.0
154747678,2022-09-04,2023-01-15,39,month,Yes,False,133.0
130939158,2022-09-04,2023-02-19,39,month,Yes,False,168.0
150912359,2022-09-04,2022-11-02,39,month,Yes,False,59.0
154132592,2022-09-04,2022-11-01,39,month,Yes,False,58.0
153368891,2022-09-04,2022-10-11,39,month,Yes,False,37.0
154225450,2022-09-05,,39,month,Yes,True,0.0
154904040,2022-09-05,2022-09-06,39,month,Yes,False,1.0
127604200,2022-09-05,2022-10-06,39,month,Yes,False,31.0
154913576,2022-09-05,2023-03-13,39,month,Yes,False,189.0
154910432,2022-09-05,2023-03-13,39,month,Yes,False,189.0
154911229,2022-09-05,2023-03-12,39,month,Yes,False,188.0
154518837,2022-09-05,2023-01-03,39,month,Yes,False,120.0
154910009,2022-09-05,2023-02-08,39,month,Yes,False,156.0
154911693,2022-09-05,2023-02-08,39,month,Yes,False,156.0
154894177,2022-09-05,2022-12-12,39,month,Yes,False,98.0
154494026,2022-09-05,2022-12-12,39,month,Yes,False,98.0
154245189,2022-09-05,2022-11-26,39,month,Yes,False,82.0
154604182,2022-09-05,2022-10-19,39,month,Yes,False,44.0
154711552,2022-09-05,2022-10-05,39,month,Yes,False,30.0
